MAP       , ID        , AMOUNT    , X1        , Y1        , DX        , DY        , RX        , RY        , RADIUS    , 
1         , 1619      , 6         , 1655.0    , 7239.0    , 315.0     , 134.0     , 1812.5    , 7306.0    , 134.0     , 
1         , 1622      , 6         , 1812.0    , 7294.0    , 127.0     , 219.0     , 1875.5    , 7403.5    , 127.0     , 
1         , 1839      , 1         , 2848.0    , 1588.0    , 9.0       , 7.0       , 2852.5    , 1591.5    , 7.0       , 
1         , 1628      , 3         , 2684.0    , 1502.0    , 53.0      , 163.0     , 2710.5    , 1583.5    , 53.0      , 
1         , 1628      , 2         , 2919.0    , 1431.0    , 75.0      , 105.0     , 2956.5    , 1483.5    , 75.0      , 
1         , 1628      , 3         , 3008.0    , 1377.0    , 309.0     , 84.0      , 3162.5    , 1419.0    , 84.0      , 
1         , 1628      , 2         , 2686.0    , 1550.0    , 317.0     , 112.0     , 2844.5    , 1606.0    , 112.0     , 
1         , 1626      , 8         , 2066.0    , 5875.0    , 715.0     , 97.0      , 2423.5    , 5923.5    , 97.0      , 
1         , 1626      , 5         , 2818.0    , 5699.0    , 89.0      , 280.0     , 2862.5    , 5839.0    , 89.0      , 
1         , 1626      , 6         , 2985.0    , 5714.0    , 74.0      , 414.0     , 3022.0    , 5921.0    , 74.0      , 
1         , 1626      , 2         , 2827.0    , 6088.0    , 142.0     , 38.0      , 2898.0    , 6107.0    , 38.0      , 
1         , 1626      , 1         , 2899.0    , 5642.0    , 78.0      , 39.0      , 2938.0    , 5661.5    , 39.0      , 
1         , 1626      , 1         , 3013.0    , 5620.0    , 49.0      , 25.0      , 3037.5    , 5632.5    , 25.0      , 
1         , 1626      , 2         , 2083.0    , 5771.0    , 585.0     , 48.0      , 2375.5    , 5795.0    , 48.0      , 
1         , 1627      , 1         , 2059.0    , 5892.0    , 994.0     , 85.0      , 2556.0    , 5934.5    , 85.0      , 
1         , 1632      , 4         , 2061.0    , 5742.0    , 619.0     , 94.0      , 2370.5    , 5789.0    , 94.0      , 
1         , 1632      , 2         , 2085.0    , 5917.0    , 713.0     , 39.0      , 2441.5    , 5936.5    , 39.0      , 
1         , 1626      , 4         , 2087.0    , 6840.0    , 82.0      , 313.0     , 2128.0    , 6996.5    , 82.0      , 
1         , 1626      , 1         , 2140.0    , 6860.0    , 109.0     , 84.0      , 2194.5    , 6902.0    , 84.0      , 
1         , 1632      , 6         , 2795.0    , 6320.0    , 264.0     , 190.0     , 2927.0    , 6415.0    , 190.0     , 
1         , 1632      , 6         , 2313.0    , 6826.0    , 189.0     , 331.0     , 2407.5    , 6991.5    , 189.0     , 
1         , 1632      , 3         , 2469.0    , 6481.0    , 41.0      , 326.0     , 2489.5    , 6644.0    , 41.0      , 
1         , 1632      , 3         , 2541.0    , 6474.0    , 216.0     , 33.0      , 2649.0    , 6490.5    , 33.0      , 
1         , 1632      , 7         , 2594.0    , 6581.0    , 473.0     , 200.0     , 2830.5    , 6681.0    , 200.0     , 
1         , 1633      , 1         , 2594.0    , 6584.0    , 472.0     , 500.0     , 2830.0    , 6834.0    , 472.0     , 
1         , 1634      , 3         , 2127.0    , 6168.0    , 99.0      , 604.0     , 2176.5    , 6470.0    , 99.0      , 
1         , 1634      , 3         , 2238.0    , 6156.0    , 529.0     , 82.0      , 2502.5    , 6197.0    , 82.0      , 
1         , 1634      , 3         , 2591.0    , 6730.0    , 476.0     , 227.0     , 2829.0    , 6843.5    , 227.0     , 
1         , 1635      , 1         , 2596.0    , 6590.0    , 469.0     , 492.0     , 2830.5    , 6836.0    , 469.0     , 
1         , 1636      , 3         , 2325.0    , 6340.0    , 106.0     , 442.0     , 2378.0    , 6561.0    , 106.0     , 
1         , 1636      , 3         , 2440.0    , 6335.0    , 314.0     , 101.0     , 2597.0    , 6385.5    , 101.0     , 
1         , 1636      , 3         , 2597.0    , 6761.0    , 466.0     , 165.0     , 2830.0    , 6843.5    , 165.0     , 
1         , 1639      , 6         , 2592.0    , 6890.0    , 476.0     , 197.0     , 2830.0    , 6988.5    , 197.0     , 
1         , 1639      , 1         , 2898.0    , 7116.0    , 153.0     , 43.0      , 2974.5    , 7137.5    , 43.0      , 
1         , 1639      , 1         , 2592.0    , 7119.0    , 177.0     , 39.0      , 2680.5    , 7138.5    , 39.0      , 
1         , 1640      , 1         , 2598.0    , 6592.0    , 468.0     , 489.0     , 2832.0    , 6836.5    , 468.0     , 
1         , 1656      , 1         , 2596.0    , 6582.0    , 469.0     , 505.0     , 2830.5    , 6834.5    , 469.0     , 
1         , 1626      , 4         , 2072.0    , 7191.0    , 97.0      , 172.0     , 2120.5    , 7277.0    , 97.0      , 
1         , 1626      , 2         , 2119.0    , 7227.0    , 132.0     , 101.0     , 2185.0    , 7277.5    , 101.0     , 
1         , 1632      , 4         , 2342.0    , 7193.0    , 313.0     , 66.0      , 2498.5    , 7226.0    , 66.0      , 
1         , 1632      , 1         , 2329.0    , 7230.0    , 69.0      , 120.0     , 2363.5    , 7290.0    , 69.0      , 
1         , 142       , 2         , 3381.0    , 414.0     , 40.0      , 39.0      , 3401.0    , 433.5     , 39.0      , 
1         , 142       , 3         , 3365.0    , 527.0     , 24.0      , 40.0      , 3377.0    , 547.0     , 24.0      , 
1         , 142       , 3         , 3096.0    , 359.0     , 82.0      , 72.0      , 3137.0    , 395.0     , 72.0      , 
1         , 142       , 2         , 3223.0    , 816.0     , 31.0      , 83.0      , 3238.5    , 857.5     , 31.0      , 
1         , 142       , 2         , 3084.0    , 940.0     , 66.0      , 71.0      , 3117.0    , 975.5     , 66.0      , 
1         , 142       , 1         , 3152.0    , 889.0     , 48.0      , 71.0      , 3176.0    , 924.5     , 48.0      , 
1         , 81        , 2         , 3196.0    , 251.0     , 48.0      , 157.0     , 3220.0    , 329.5     , 48.0      , 
1         , 81        , 2         , 3122.0    , 916.0     , 58.0      , 66.0      , 3151.0    , 949.0     , 58.0      , 
1         , 81        , 2         , 3074.0    , 403.0     , 62.0      , 66.0      , 3105.0    , 436.0     , 62.0      , 
1         , 81        , 2         , 3463.0    , 326.0     , 58.0      , 78.0      , 3492.0    , 365.0     , 58.0      , 
1         , 82        , 2         , 3404.0    , 434.0     , 59.0      , 54.0      , 3433.5    , 461.0     , 54.0      , 
1         , 82        , 2         , 3341.0    , 552.0     , 35.0      , 37.0      , 3358.5    , 570.5     , 35.0      , 
1         , 82        , 3         , 3462.0    , 247.0     , 133.0     , 69.0      , 3528.5    , 281.5     , 69.0      , 
1         , 82        , 4         , 3161.0    , 321.0     , 144.0     , 88.0      , 3233.0    , 365.0     , 88.0      , 
1         , 82        , 3         , 3263.0    , 671.0     , 25.0      , 173.0     , 3275.5    , 757.5     , 25.0      , 
1         , 172       , 5         , 3590.0    , 9.0       , 276.0     , 128.0     , 3728.0    , 73.0      , 128.0     , 
1         , 172       , 2         , 3443.0    , 120.0     , 208.0     , 81.0      , 3547.0    , 160.5     , 81.0      , 
1         , 181       , 4         , 3628.0    , 4.0       , 340.0     , 54.0      , 3798.0    , 31.0      , 54.0      , 
1         , 181       , 3         , 3519.0    , 82.0      , 139.0     , 118.0     , 3588.5    , 141.0     , 118.0     , 
1         , 1838      , 1         , 4061.0    , 858.0     , 8.0       , 8.0       , 4065.0    , 862.0     , 8.0       , 
1         , 1838      , 1         , 4075.0    , 505.0     , 8.0       , 8.0       , 4079.0    , 509.0     , 8.0       , 
1         , 1625      , 3         , 3740.0    , 573.0     , 133.0     , 93.0      , 3806.5    , 619.5     , 93.0      , 
1         , 1625      , 3         , 3859.0    , 580.0     , 43.0      , 269.0     , 3880.5    , 714.5     , 43.0      , 
1         , 1625      , 5         , 4006.0    , 492.0     , 128.0     , 700.0     , 4070.0    , 842.0     , 128.0     , 
1         , 1625      , 5         , 3839.0    , 911.0     , 233.0     , 396.0     , 3955.5    , 1109.0    , 233.0     , 
1         , 12142     , 1         , 3381.0    , 414.0     , 40.0      , 39.0      , 3401.0    , 433.5     , 39.0      , 
1         , 12142     , 1         , 3365.0    , 527.0     , 24.0      , 40.0      , 3377.0    , 547.0     , 24.0      , 
1         , 12142     , 1         , 3096.0    , 359.0     , 82.0      , 72.0      , 3137.0    , 395.0     , 72.0      , 
1         , 12142     , 1         , 3223.0    , 816.0     , 31.0      , 83.0      , 3238.5    , 857.5     , 31.0      , 
1         , 12142     , 1         , 3084.0    , 940.0     , 66.0      , 71.0      , 3117.0    , 975.5     , 66.0      , 
1         , 12142     , 1         , 3152.0    , 889.0     , 48.0      , 71.0      , 3176.0    , 924.5     , 48.0      , 
1         , 12081     , 1         , 3196.0    , 251.0     , 48.0      , 157.0     , 3220.0    , 329.5     , 48.0      , 
1         , 12081     , 1         , 3122.0    , 916.0     , 58.0      , 66.0      , 3151.0    , 949.0     , 58.0      , 
1         , 12081     , 1         , 3074.0    , 403.0     , 62.0      , 66.0      , 3105.0    , 436.0     , 62.0      , 
1         , 12081     , 1         , 3463.0    , 326.0     , 58.0      , 78.0      , 3492.0    , 365.0     , 58.0      , 
1         , 12082     , 1         , 3404.0    , 434.0     , 59.0      , 54.0      , 3433.5    , 461.0     , 54.0      , 
1         , 12082     , 1         , 3341.0    , 552.0     , 35.0      , 37.0      , 3358.5    , 570.5     , 35.0      , 
1         , 12082     , 1         , 3462.0    , 247.0     , 133.0     , 69.0      , 3528.5    , 281.5     , 69.0      , 
1         , 12082     , 1         , 3161.0    , 321.0     , 144.0     , 88.0      , 3233.0    , 365.0     , 88.0      , 
1         , 12082     , 1         , 3263.0    , 671.0     , 25.0      , 173.0     , 3275.5    , 757.5     , 25.0      , 
1         , 12172     , 1         , 3590.0    , 9.0       , 276.0     , 128.0     , 3728.0    , 73.0      , 128.0     , 
1         , 12172     , 1         , 3443.0    , 120.0     , 208.0     , 81.0      , 3547.0    , 160.5     , 81.0      , 
1         , 12181     , 1         , 3628.0    , 4.0       , 340.0     , 54.0      , 3798.0    , 31.0      , 54.0      , 
1         , 12181     , 1         , 3519.0    , 82.0      , 139.0     , 118.0     , 3588.5    , 141.0     , 118.0     , 
1         , 13142     , 1         , 3381.0    , 414.0     , 40.0      , 39.0      , 3401.0    , 433.5     , 39.0      , 
1         , 13142     , 1         , 3365.0    , 527.0     , 24.0      , 40.0      , 3377.0    , 547.0     , 24.0      , 
1         , 13142     , 1         , 3096.0    , 359.0     , 82.0      , 72.0      , 3137.0    , 395.0     , 72.0      , 
1         , 13142     , 1         , 3223.0    , 816.0     , 31.0      , 83.0      , 3238.5    , 857.5     , 31.0      , 
1         , 13142     , 1         , 3084.0    , 940.0     , 66.0      , 71.0      , 3117.0    , 975.5     , 66.0      , 
1         , 13142     , 1         , 3152.0    , 889.0     , 48.0      , 71.0      , 3176.0    , 924.5     , 48.0      , 
1         , 13081     , 1         , 3196.0    , 251.0     , 48.0      , 157.0     , 3220.0    , 329.5     , 48.0      , 
1         , 13081     , 1         , 3122.0    , 916.0     , 58.0      , 66.0      , 3151.0    , 949.0     , 58.0      , 
1         , 13081     , 1         , 3074.0    , 403.0     , 62.0      , 66.0      , 3105.0    , 436.0     , 62.0      , 
1         , 13081     , 1         , 3463.0    , 326.0     , 58.0      , 78.0      , 3492.0    , 365.0     , 58.0      , 
1         , 13082     , 1         , 3404.0    , 434.0     , 59.0      , 54.0      , 3433.5    , 461.0     , 54.0      , 
1         , 13082     , 1         , 3341.0    , 552.0     , 35.0      , 37.0      , 3358.5    , 570.5     , 35.0      , 
1         , 13082     , 1         , 3462.0    , 247.0     , 133.0     , 69.0      , 3528.5    , 281.5     , 69.0      , 
1         , 13082     , 1         , 3161.0    , 321.0     , 144.0     , 88.0      , 3233.0    , 365.0     , 88.0      , 
1         , 13082     , 1         , 3263.0    , 671.0     , 25.0      , 173.0     , 3275.5    , 757.5     , 25.0      , 
1         , 13172     , 1         , 3590.0    , 9.0       , 276.0     , 128.0     , 3728.0    , 73.0      , 128.0     , 
1         , 13172     , 1         , 3443.0    , 120.0     , 208.0     , 81.0      , 3547.0    , 160.5     , 81.0      , 
1         , 13181     , 1         , 3628.0    , 4.0       , 340.0     , 54.0      , 3798.0    , 31.0      , 54.0      , 
1         , 13181     , 1         , 3519.0    , 82.0      , 139.0     , 118.0     , 3588.5    , 141.0     , 118.0     , 
1         , 1838      , 1         , 3634.0    , 1533.0    , 8.0       , 7.0       , 3638.0    , 1536.5    , 7.0       , 
1         , 1838      , 1         , 3481.0    , 1189.0    , 9.0       , 8.0       , 3485.5    , 1193.0    , 8.0       , 
1         , 1838      , 1         , 3827.0    , 1190.0    , 7.0       , 8.0       , 3830.5    , 1194.0    , 7.0       , 
1         , 1839      , 1         , 3248.0    , 1499.0    , 7.0       , 8.0       , 3251.5    , 1503.0    , 7.0       , 
1         , 1625      , 3         , 3614.0    , 1041.0    , 460.0     , 221.0     , 3844.0    , 1151.5    , 221.0     , 
1         , 1625      , 3         , 3604.0    , 1032.0    , 134.0     , 664.0     , 3671.0    , 1364.0    , 134.0     , 
1         , 1625      , 3         , 3603.0    , 1517.0    , 490.0     , 30.0      , 3848.0    , 1532.0    , 30.0      , 
1         , 1627      , 1         , 3411.0    , 1262.0    , 342.0     , 357.0     , 3582.0    , 1440.5    , 342.0     , 
1         , 1628      , 3         , 3430.0    , 1270.0    , 319.0     , 342.0     , 3589.5    , 1441.0    , 319.0     , 
1         , 1628      , 3         , 3490.0    , 1625.0    , 246.0     , 71.0      , 3613.0    , 1660.5    , 71.0      , 
1         , 1628      , 2         , 3185.0    , 1418.0    , 235.0     , 199.0     , 3302.5    , 1517.5    , 199.0     , 
1         , 1628      , 1         , 3318.0    , 1196.0    , 91.0      , 153.0     , 3363.5    , 1272.5    , 91.0      , 
1         , 1628      , 2         , 3459.0    , 1085.0    , 55.0      , 184.0     , 3486.5    , 1177.0    , 55.0      , 
1         , 1626      , 6         , 3176.0    , 5722.0    , 47.0      , 290.0     , 3199.5    , 5867.0    , 47.0      , 
1         , 1626      , 3         , 3113.0    , 5630.0    , 211.0     , 38.0      , 3218.5    , 5649.0    , 38.0      , 
1         , 1632      , 2         , 3106.0    , 6100.0    , 146.0     , 82.0      , 3179.0    , 6141.0    , 82.0      , 
1         , 1632      , 6         , 3168.0    , 6151.0    , 190.0     , 129.0     , 3263.0    , 6215.5    , 129.0     , 
1         , 1634      , 2         , 3085.0    , 6326.0    , 130.0     , 180.0     , 3150.0    , 6416.0    , 130.0     , 
1         , 1634      , 1         , 3228.0    , 6332.0    , 143.0     , 44.0      , 3299.5    , 6354.0    , 44.0      , 
1         , 1634      , 1         , 3225.0    , 6386.0    , 81.0      , 23.0      , 3265.5    , 6397.5    , 23.0      , 
1         , 1636      , 4         , 3187.0    , 6536.0    , 52.0      , 605.0     , 3213.0    , 6838.5    , 52.0      , 
1         , 1636      , 2         , 3255.0    , 6673.0    , 42.0      , 259.0     , 3276.0    , 6802.5    , 42.0      , 
1         , 1636      , 2         , 3087.0    , 7186.0    , 189.0     , 79.0      , 3181.5    , 7225.5    , 79.0      , 
1         , 1636      , 2         , 3263.0    , 7257.0    , 65.0      , 90.0      , 3295.5    , 7302.0    , 65.0      , 
1         , 203       , 3         , 3625.0    , -2176.0   , 82.0      , 85.0      , 3666.0    , -2133.5   , 82.0      , 
1         , 203       , 3         , 3992.0    , -2111.0   , 77.0      , 52.0      , 4030.5    , -2085.0   , 52.0      , 
1         , 12203     , 1         , 3625.0    , -2176.0   , 82.0      , 85.0      , 3666.0    , -2133.5   , 82.0      , 
1         , 12203     , 1         , 3992.0    , -2111.0   , 77.0      , 52.0      , 4030.5    , -2085.0   , 52.0      , 
1         , 13203     , 1         , 3625.0    , -2176.0   , 82.0      , 85.0      , 3666.0    , -2133.5   , 82.0      , 
1         , 13203     , 1         , 3992.0    , -2111.0   , 77.0      , 52.0      , 4030.5    , -2085.0   , 52.0      , 
1         , 202       , 3         , 3873.0    , -1624.0   , 105.0     , 51.0      , 3925.5    , -1598.5   , 51.0      , 
1         , 202       , 3         , 3746.0    , -1812.0   , 209.0     , 19.0      , 3850.5    , -1802.5   , 19.0      , 
1         , 202       , 3         , 3862.0    , -1229.0   , 50.0      , 42.0      , 3887.0    , -1208.0   , 42.0      , 
1         , 202       , 2         , 3925.0    , -1225.0   , 47.0      , 29.0      , 3948.5    , -1210.5   , 29.0      , 
1         , 202       , 3         , 3585.0    , -1325.0   , 47.0      , 204.0     , 3608.5    , -1223.0   , 47.0      , 
1         , 202       , 2         , 3399.0    , -1833.0   , 189.0     , 54.0      , 3493.5    , -1806.0   , 54.0      , 
1         , 202       , 2         , 3734.0    , -1716.0   , 144.0     , 66.0      , 3806.0    , -1683.0   , 66.0      , 
1         , 202       , 2         , 4018.0    , -1765.0   , 65.0      , 210.0     , 4050.5    , -1660.0   , 65.0      , 
1         , 203       , 3         , 3594.0    , -1658.0   , 128.0     , 58.0      , 3658.0    , -1629.0   , 58.0      , 
1         , 203       , 3         , 3907.0    , -1673.0   , 94.0      , 79.0      , 3954.0    , -1633.5   , 79.0      , 
1         , 203       , 3         , 3734.0    , -1822.0   , 33.0      , 39.0      , 3750.5    , -1802.5   , 33.0      , 
1         , 203       , 3         , 3902.0    , -1811.0   , 46.0      , 35.0      , 3925.0    , -1793.5   , 35.0      , 
1         , 203       , 3         , 3499.0    , -1947.0   , 76.0      , 52.0      , 3537.0    , -1921.0   , 52.0      , 
1         , 203       , 3         , 3896.0    , -1238.0   , 38.0      , 51.0      , 3915.0    , -1212.5   , 38.0      , 
1         , 203       , 3         , 3723.0    , -1263.0   , 51.0      , 189.0     , 3748.5    , -1168.5   , 51.0      , 
1         , 203       , 3         , 3533.0    , -1924.0   , 34.0      , 52.0      , 3550.0    , -1898.0   , 34.0      , 
1         , 203       , 4         , 3289.0    , -1339.0   , 119.0     , 138.0     , 3348.5    , -1270.0   , 119.0     , 
1         , 321       , 1         , 3588.0    , -1692.0   , 20.0      , 24.0      , 3598.0    , -1680.0   , 20.0      , 
1         , 321       , 1         , 3523.0    , -1954.0   , 58.0      , 73.0      , 3552.0    , -1917.5   , 58.0      , 
1         , 321       , 1         , 3862.0    , -1242.0   , 153.0     , 62.0      , 3938.5    , -1211.0   , 62.0      , 
1         , 321       , 1         , 3763.0    , -1738.0   , 286.0     , 156.0     , 3906.0    , -1660.0   , 156.0     , 
1         , 321       , 1         , 3744.0    , -1099.0   , 114.0     , 41.0      , 3801.0    , -1078.5   , 41.0      , 
1         , 12202     , 1         , 3873.0    , -1624.0   , 105.0     , 51.0      , 3925.5    , -1598.5   , 51.0      , 
1         , 12202     , 1         , 3746.0    , -1812.0   , 209.0     , 19.0      , 3850.5    , -1802.5   , 19.0      , 
1         , 12202     , 1         , 3862.0    , -1229.0   , 50.0      , 42.0      , 3887.0    , -1208.0   , 42.0      , 
1         , 12202     , 1         , 3925.0    , -1225.0   , 47.0      , 29.0      , 3948.5    , -1210.5   , 29.0      , 
1         , 12202     , 1         , 3585.0    , -1325.0   , 47.0      , 204.0     , 3608.5    , -1223.0   , 47.0      , 
1         , 12202     , 1         , 3399.0    , -1833.0   , 189.0     , 54.0      , 3493.5    , -1806.0   , 54.0      , 
1         , 12202     , 1         , 3734.0    , -1716.0   , 144.0     , 66.0      , 3806.0    , -1683.0   , 66.0      , 
1         , 12202     , 1         , 4018.0    , -1765.0   , 65.0      , 210.0     , 4050.5    , -1660.0   , 65.0      , 
1         , 12203     , 1         , 3594.0    , -1658.0   , 128.0     , 58.0      , 3658.0    , -1629.0   , 58.0      , 
1         , 12203     , 1         , 3907.0    , -1673.0   , 94.0      , 79.0      , 3954.0    , -1633.5   , 79.0      , 
1         , 12203     , 1         , 3734.0    , -1822.0   , 33.0      , 39.0      , 3750.5    , -1802.5   , 33.0      , 
1         , 12203     , 1         , 3902.0    , -1811.0   , 46.0      , 35.0      , 3925.0    , -1793.5   , 35.0      , 
1         , 12203     , 1         , 3499.0    , -1947.0   , 76.0      , 52.0      , 3537.0    , -1921.0   , 52.0      , 
1         , 12203     , 1         , 3896.0    , -1238.0   , 38.0      , 51.0      , 3915.0    , -1212.5   , 38.0      , 
1         , 12203     , 1         , 3723.0    , -1263.0   , 51.0      , 189.0     , 3748.5    , -1168.5   , 51.0      , 
1         , 12203     , 1         , 3533.0    , -1924.0   , 34.0      , 52.0      , 3550.0    , -1898.0   , 34.0      , 
1         , 12203     , 1         , 3289.0    , -1339.0   , 119.0     , 138.0     , 3348.5    , -1270.0   , 119.0     , 
1         , 13202     , 1         , 3873.0    , -1624.0   , 105.0     , 51.0      , 3925.5    , -1598.5   , 51.0      , 
1         , 13202     , 1         , 3746.0    , -1812.0   , 209.0     , 19.0      , 3850.5    , -1802.5   , 19.0      , 
1         , 13202     , 1         , 3862.0    , -1229.0   , 50.0      , 42.0      , 3887.0    , -1208.0   , 42.0      , 
1         , 13202     , 1         , 3925.0    , -1225.0   , 47.0      , 29.0      , 3948.5    , -1210.5   , 29.0      , 
1         , 13202     , 1         , 3585.0    , -1325.0   , 47.0      , 204.0     , 3608.5    , -1223.0   , 47.0      , 
