ID        , NAME             , MODULE    , ITEM1     , ITEM2     , ITEM3     , ITEM4     , ITEM5     , ITEM6     , ITEM7     , ITEM8     , ITEM9     , ITEM10    , ITEM11    , ITEM12    , ITEM13    , ITEM14    , ITEM15    , ITEM16    , ITEM17    , ITEM18    , ITEM19    , ITEM20    , ITEM21    , ITEM22    , ITEM23    , ITEM24    , ITEM25    , ITEM26    , ITEM27    , ITEM28    , ITEM29    , ITEM30    , ITEM31    , ITEM32    , ITEM33    , ITEM34    , ITEM35    , ITEM36    , ITEM37    , ITEM38    , ITEM39    , ITEM40    , ITEM41    , ITEM42    , ITEM43    , ITEM44    , ITEM45    , ITEM46    , ITEM47    , ITEM48    , ITEM49    , ITEM50    , ITEM51    , ITEM52    , ITEM53    , ITEM54    , ITEM55    , ITEM56    , ITEM57    , ITEM58    , ITEM59    , ITEM60    , 
91        , ######## ####    , 5         , 273001087 , 273001088 , 273001089 , 273001090 , 273001091 , 273001092 , 273001093 , 273001094 , 273001095 , 273001096 , 273001097 , 273001098 , 273001099 , 273001100 , 273001101 , 273001102 , 273001103 , 273001104 , 273001105 , 273001106 , 273001107 , 273001108 , 273001109 , 273001110 , 273001111 , 273001112 , 273001113 , 273001114 , 273001115 , 273001116 , 273001117 , 273001118 , 273001119 , 273001120 , 273001121 , 273001122 , 273001123 , 273001124 , 273001125 , 273001126 , 273001127 , 273001128 , 273001129 , 273001130 , 273001131 , 273001132 , 273001133 , 273001134 , 273001135 , 273001136 , 273001137 , 273001138 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
100       , ######## ########, 5         , 273000768 , 273000769 , 273000770 , 273000771 , 273000772 , 273000773 , 273000774 , 273000775 , 273000776 , 273000777 , 273000778 , 273000779 , 273000780 , 273000781 , 273000782 , 273000783 , 273000784 , 273000785 , 273000786 , 273000787 , 273000788 , 273000789 , 273000790 , 273000791 , 273000792 , 273000793 , 273000794 , 273000795 , 273000796 , 273000797 , 273000798 , 273000799 , 273000800 , 273000801 , 273000802 , 273000803 , 273000804 , 273000805 , 273000806 , 273000807 , 273000808 , 273000809 , 273000810 , 273000811 , 273000812 , 273000813 , 273000814 , 273000815 , 273000816 , 273000817 , 273000818 , 273000819 , 273000820 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
110       , ######## ######  , 5         , 241111002 , 241112002 , 241113002 , 241221002 , 241222002 , 241223002 , 241131002 , 241132002 , 241133002 , 241141002 , 241142002 , 241143002 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
120       , ###### ######    , 5         , 202110104 , 203110103 , 204110101 , 206110103 , 202220104 , 203220103 , 204220101 , 206220103 , 202130104 , 203130103 , 204130101 , 206130103 , 202140104 , 203140103 , 204140101 , 206140103 , 210110102 , 210220102 , 210130102 , 210140102 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
130       , ###### ######    , 5         , 207114102 , 207224102 , 207134102 , 207114103 , 207224103 , 207134103 , 208114102 , 208224102 , 208134102 , 209114103 , 209225103 , 209135103 , 213010001 , 213010002 , 213020001 , 213020002 , 213030001 , 212100001 , 209140103 , 207144102 , 207144103 , 208144102 , 208114114 , 208224114 , 208134114 , 208144114 , 212100003 , 212100004 , 212100002 , 215010001 , 213040004 , 213040005 , 212100043 , 212100044 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
140       , ######## ######  , 5         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
150       , ######## ####    , 9         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
160       , ####             , 10        , 202110304 , 202220304 , 202130304 , 202140304 , 203110303 , 203220303 , 203130303 , 203140303 , 206110304 , 206220304 , 206130304 , 206140304 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
161       , #### ###### #### , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
162       , #### ###### #### , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
163       , #### ###### #### , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
170       , ######## ######  , 5         , 241111002 , 241111003 , 241112002 , 241112003 , 241113002 , 241113003 , 241221002 , 241221003 , 241222002 , 241222003 , 241223002 , 241223003 , 241131002 , 241131003 , 241132002 , 241132003 , 241133002 , 241133003 , 241141002 , 241142002 , 241143002 , 241141003 , 241142003 , 241143003 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
180       , ###### ######    , 5         , 202110104 , 202110105 , 203110103 , 203110104 , 204110101 , 204110102 , 206110103 , 206110104 , 206110105 , 210110103 , 202220104 , 202220105 , 203220103 , 203220104 , 204220101 , 204220102 , 206220103 , 206220104 , 206220105 , 210220103 , 202130104 , 202130105 , 203130103 , 203130104 , 204130101 , 204130102 , 203130105 , 206130103 , 206130104 , 206130105 , 210130103 , 202140104 , 202140105 , 203140103 , 203140104 , 204140101 , 204140102 , 206140103 , 206140104 , 206140105 , 210140103 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
190       , ###### ####      , 5         , 207114102 , 207224102 , 207134102 , 207114103 , 207224103 , 207134103 , 208114102 , 208224102 , 208134102 , 208114103 , 208224103 , 208134103 , 209114103 , 209110104 , 209225103 , 209220104 , 209135103 , 209130104 , 213010001 , 213010002 , 213020001 , 213020002 , 213030001 , 212100001 , 207144102 , 207144103 , 208144102 , 208144103 , 209140103 , 209140104 , 208114114 , 208224114 , 208134114 , 208144114 , 208114115 , 208224115 , 208134115 , 208144115 , 207114104 , 207224104 , 207134104 , 207144104 , 212100003 , 212100004 , 212100002 , 215010001 , 212100043 , 212100044 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
200       , ########         , 5         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
210       , ######## ####    , 9         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
220       , ########         , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
221       , #### ###### #### , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
222       , #### ###### #### , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
223       , #### ###### #### , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
224       , ########         , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
225       , ########         , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
230       , ######## ####    , 5         , 241111003 , 241111004 , 241112003 , 241112004 , 241113003 , 241113004 , 241221003 , 241221004 , 241222003 , 241222004 , 241223003 , 241223004 , 241131003 , 241131004 , 241132003 , 241132004 , 241133003 , 241133004 , 241141003 , 241141004 , 241142003 , 241142004 , 241143003 , 241143004 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
240       , ###### ######    , 5         , 202110106 , 203110105 , 203110106 , 204110102 , 206110106 , 202220106 , 203220105 , 203220106 , 204220102 , 206220106 , 202130106 , 203130105 , 203130106 , 204130102 , 206130106 , 202140106 , 203140105 , 203140106 , 204140102 , 206140106 , 210110103 , 210220103 , 210130103 , 210140103 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
250       , ###### ######    , 5         , 209114105 , 209225105 , 209135105 , 213010001 , 213010002 , 213020001 , 213020002 , 213030001 , 212100001 , 209140105 , 208114104 , 208224104 , 208134104 , 208144104 , 208114116 , 208224116 , 208134116 , 208144116 , 208114105 , 208224105 , 208134105 , 208144105 , 208114117 , 208224117 , 208134117 , 208144117 , 207114105 , 207224105 , 207134105 , 207144105 , 212100003 , 212100004 , 212100002 , 215010001 , 212100005 , 213040004 , 213040005 , 212100043 , 212100044 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
260       , ##########       , 5         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
261       , ######## ####    , 10        , 208114518 , 208224518 , 208134518 , 208144518 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
270       , ######## ####    , 9         , 243111002 , 243112002 , 243113002 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
280       , ######## ####    , 10        , 243111004 , 243112004 , 243113004 , 243221004 , 243222004 , 243223004 , 243131004 , 243132004 , 243133004 , 243141004 , 243142004 , 243143004 , 203110306 , 203220306 , 203130306 , 203140306 , 209114305 , 209225305 , 209135305 , 209140305 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
281       , #### ###### #### , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
282       , #### ###### #### , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
283       , #### ###### #### , 10        , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
290       , ######## ####    , 5         , 241111002 , 241111003 , 241112002 , 241112003 , 241113002 , 241113003 , 241221002 , 241221003 , 241222002 , 241222003 , 241223002 , 241223003 , 241131002 , 241131003 , 241132002 , 241132003 , 241133002 , 241133003 , 241141002 , 241142002 , 241143002 , 241141003 , 241142003 , 241143003 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
291       , ######## ####    , 5         , 241111002 , 241111003 , 241112002 , 241112003 , 241113002 , 241113003 , 241221002 , 241221003 , 241222002 , 241222003 , 241223002 , 241223003 , 241131002 , 241131003 , 241132002 , 241132003 , 241133002 , 241133003 , 241141002 , 241142002 , 241143002 , 241141003 , 241142003 , 241143003 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
300       , ###### ####      , 5         , 202110104 , 202110105 , 203110103 , 203110104 , 204110101 , 204110102 , 206110103 , 206110104 , 206110105 , 210110103 , 202220104 , 202220105 , 203220103 , 203220104 , 204220101 , 204220102 , 206220103 , 206220104 , 206220105 , 210220103 , 202130104 , 202130105 , 203130103 , 203130104 , 204130101 , 204130102 , 203130105 , 206130103 , 206130104 , 206130105 , 210130103 , 202140104 , 202140105 , 203140103 , 203140104 , 204140101 , 204140102 , 206140103 , 206140104 , 206140105 , 210140103 , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 
